KernelSize,mIoU,mDice
13,0.6375772727272727,0.7253
11,0.6353818181818182,0.7234318181818181
7,0.6276893939393939,0.7170681818181819
9,0.6276439393939395,0.7172136363636364
5,0.6228303030303031,0.7131075757575758
