Case,IoU,Dice
p1-left,0.8171133333333334,0.8946766666666668
p1-right,0.5476013333333334,0.6485326666666666
p2-left,0.8735433333333333,0.929254
p2-right,0.9094626666666666,0.9503206666666667
TOTAL,0.7869301666666667,0.8556960000000001
